inv_id,acct_id,inv_total,inv_items,acct_age,number_of_inv120,cum_tot_inv_acct,is_late
1,1,150688.82,5,1626,23,55,1
2,1,69363.78,3,1433,17,21,0
3,1,147434.99,6,1392,12,12,0
4,1,136826.63,4,1541,21,40,0
5,1,308846.37,8,1600,20,49,0
6,1,9787.72,2,1424,17,19,0
7,1,147924.41,6,1402,16,16,0
8,1,137621.43,4,1454,18,25,0
9,1,11299.50,2,1396,14,14,0
10,1,124059.65,4,1506,21,32,0
11,1,111812.00,7,1560,19,43,1
12,1,35051.03,2,1394,13,13,0
13,1,126570.35,5,1616,23,53,0
14,1,237957.76,8,1579,19,46,0
15,1,214171.37,9,1374,10,10,1
16,1,168124.80,7,1313,4,4,0
17,1,55486.75,4,1413,17,17,0
18,1,100269.37,3,1350,8,8,0
19,1,36407.18,3,1431,16,20,0
20,1,111663.22,6,1401,15,15,0
21,1,182291.01,4,1418,18,18,0
22,1,63934.67,4,1304,2,2,0
23,1,144639.78,5,1611,23,52,0
24,1,67645.64,3,1508,22,33,0
25,1,159592.37,7,1533,21,38,0
26,1,94318.19,3,1441,18,24,0
27,1,148037.74,7,1391,11,11,0
28,1,134857.09,9,1455,19,26,0
29,1,165845.90,7,1469,20,28,0
30,1,143352.64,9,1305,3,3,0
31,1,95433.38,5,1580,20,48,0
32,1,139545.04,6,1661,20,60,0
33,1,82697.98,6,1558,19,42,0
34,1,211761.95,8,1604,21,50,1
35,1,138372.57,4,1649,21,59,0
36,1,295361.99,8,1552,20,41,1
37,1,82240.85,5,1326,6,6,0
38,1,147571.10,6,1566,19,44,1
39,1,12888.11,2,1436,16,22,0
40,1,56735.09,3,1522,21,37,0
41,1,191351.62,9,1635,21,57,1
42,1,123814.00,5,1513,22,35,0
43,1,163335.19,9,1503,20,31,0
44,1,77862.99,7,1368,9,9,0
45,1,64769.61,2,1298,0,0,0
46,1,127342.93,8,1493,19,29,1
47,1,162807.55,6,1579,19,46,1
48,1,103837.92,5,1648,20,58,0
49,1,134847.76,6,1313,4,4,0
50,1,209697.90,8,1521,21,36,0
51,1,77891.20,4,1537,21,39,0
52,1,193556.16,7,1567,20,45,0
53,1,84129.33,2,1438,17,23,0
54,1,226514.75,7,1501,19,30,0
55,1,197904.56,8,1624,22,54,1
56,1,123135.68,2,1336,7,7,0
57,1,164118.86,9,1633,21,56,1
58,1,164322.80,7,1459,19,27,0
59,1,71072.61,3,1607,22,51,0
60,1,21361.68,2,1508,22,33,0
61,1,25599.46,2,1303,1,1,0
62,2,235713.03,7,1091,6,8,0
63,2,93629.05,4,1137,7,10,0
64,2,230457.51,8,1216,6,15,1
65,2,219065.47,9,1055,3,4,0
66,2,93547.11,3,1148,8,11,0
67,2,138901.73,8,971,2,2,1
68,2,78473.38,4,1261,7,18,0
69,2,209052.01,8,1215,5,14,1
70,2,272514.40,9,1176,8,13,1
71,2,213433.04,5,1075,3,5,0
72,2,215475.83,6,1165,8,12,0
73,2,113809.87,4,1097,6,9,0
74,2,49910.99,4,1037,3,3,0
75,2,130518.86,9,935,1,1,0
76,2,40104.28,2,1076,4,6,0
77,2,141337.87,5,1227,7,17,0
78,2,164687.24,5,922,0,0,0
79,2,237337.63,9,1226,6,16,0
80,2,160917.64,9,1081,5,7,1
81,3,221164.16,9,1192,22,34,1
82,3,312637.71,9,1256,20,46,0
83,3,300288.25,9,1238,21,45,0
84,3,276883.26,9,1145,19,27,0
85,3,94388.05,9,1308,15,49,0
86,3,113780.63,7,968,0,0,0
87,3,59224.11,4,1157,20,30,0
88,3,282563.25,9,1187,20,32,0
89,3,169074.39,9,1225,25,44,0
90,3,119743.60,9,1066,11,11,0
91,3,190217.40,8,1001,4,4,0
92,3,89041.07,3,1093,16,17,0
93,3,176084.27,7,1315,15,50,0
94,3,17239.48,2,977,1,1,0
95,3,137500.42,8,983,2,2,0
96,3,22229.34,2,1284,17,48,0
97,3,88024.85,8,1014,7,7,0
98,3,228451.00,9,1036,8,8,0
99,3,115556.16,4,1202,21,38,0
100,3,236265.13,9,1135,17,25,0
101,3,9763.07,2,1156,21,29,0
102,3,39281.23,2,1080,16,16,0
103,3,29929.76,3,1109,17,20,0
104,3,56754.02,2,1318,16,51,0
105,3,30367.53,3,1076,13,13,0
106,3,51130.57,4,1175,21,31,0
107,3,55487.02,4,1224,24,43,0
108,3,237219.86,8,996,3,3,0
109,3,75542.72,3,1155,20,28,0
110,3,224793.53,6,1011,6,6,0
111,3,95786.14,3,1141,18,26,0
112,3,132023.57,7,1076,13,13,0
113,3,341336.26,8,1203,23,40,0
114,3,238596.43,8,1200,19,35,0
115,3,156883.53,5,1097,17,18,0
116,3,98494.54,7,1202,21,38,0
117,3,65026.49,5,1200,19,35,0
118,3,116207.86,7,1036,8,8,0
119,3,58523.31,3,1125,18,24,0
120,3,180784.82,5,1111,18,21,0
121,3,161969.00,7,1218,23,42,0
122,3,89719.33,5,1187,20,32,0
123,3,227228.22,8,1209,24,41,0
124,3,151073.86,6,1076,13,13,0
125,3,6206.69,2,1267,19,47,0
126,3,254781.20,9,1060,10,10,0
127,3,233080.97,7,1073,12,12,0
128,3,65993.60,5,1115,19,22,0
129,3,31919.02,2,1200,19,35,0
130,3,43349.97,2,1117,19,23,0
131,3,161699.80,7,1001,4,4,0
132,3,65627.00,3,1106,16,19,0
133,4,397712.75,9,1397,17,29,0
134,4,90061.24,5,1355,16,25,0
135,4,260231.72,8,1331,11,19,0
136,4,219543.80,7,1299,9,14,0
137,4,27552.05,2,1321,11,17,0
138,4,68224.42,5,1322,12,18,0
139,4,257731.99,8,1250,10,10,0
140,4,113365.60,6,1256,11,11,0
141,4,205520.28,9,1210,7,7,0
142,4,191222.47,9,1216,8,8,1
143,4,143692.60,6,1303,10,15,0
144,4,246370.34,9,1145,0,0,0
145,4,23967.44,2,1173,2,2,0
146,4,194777.13,8,1191,5,5,0
147,4,279700.00,9,1314,10,16,1
148,4,62916.74,3,1279,11,12,0
149,4,114844.34,6,1175,3,3,0
150,4,207358.25,8,1352,15,24,0
151,4,205793.04,5,1204,6,6,0
152,4,197900.35,8,1334,12,20,0
153,4,99225.85,3,1385,15,27,0
154,4,174152.48,8,1412,17,31,0
155,4,190021.79,8,1248,9,9,0
156,4,109659.67,5,1345,13,22,0
157,4,71919.39,3,1387,16,28,0
158,4,47097.50,3,1405,16,30,0
159,4,295162.24,9,1283,12,13,1
160,4,137668.24,4,1178,4,4,0
161,4,80519.91,5,1361,17,26,0
162,4,95038.41,6,1481,6,32,0
163,4,110624.51,7,1163,1,1,0
164,4,218120.96,8,1348,14,23,1
165,4,213269.16,7,1341,12,21,0
166,5,75655.38,5,871,4,4,0
167,5,160499.95,9,1169,16,52,1
168,5,17336.98,2,870,3,3,0
169,5,43961.06,5,1112,21,46,0
170,5,125927.37,5,1034,23,33,0
171,5,36880.53,3,1007,20,27,0
172,5,54121.41,3,947,16,16,0
173,5,76668.16,5,1040,23,34,0
174,5,130549.38,4,1041,24,35,0
175,5,102510.45,5,1023,21,31,0
176,5,162966.54,9,1009,21,28,1
177,5,179318.55,8,1031,22,32,0
178,5,32275.98,5,1121,20,47,0
179,5,163357.77,5,900,8,8,0
180,5,320322.39,8,1076,23,41,1
181,5,7996.10,2,1097,21,42,0
182,5,42710.62,2,1109,21,45,0
183,5,218344.45,9,926,11,11,1
184,5,73782.46,4,984,20,23,0
185,5,185648.51,5,840,1,1,0
186,5,22196.86,2,1176,16,53,0
187,5,173460.68,8,1107,20,44,1
188,5,63310.65,2,1060,26,38,0
189,5,92422.96,4,1069,23,40,0
190,5,146246.70,5,1017,21,29,0
191,5,272174.80,8,893,7,7,0
192,5,122324.95,4,995,20,26,0
193,5,140925.40,4,1197,15,57,0
194,5,98681.89,8,1056,25,37,1
195,5,297341.00,9,915,10,10,1
196,5,148984.03,6,1022,20,30,1
197,5,27966.95,5,946,15,15,0
198,5,59532.55,5,1187,14,54,0
199,5,62238.97,5,941,12,12,0
200,5,16336.71,2,879,6,6,0
201,5,63336.68,4,994,19,25,1
202,5,129981.84,7,873,5,5,0
203,5,108395.26,4,983,19,22,1
204,5,227151.33,8,964,16,18,1
205,5,134102.95,9,1145,16,48,1
206,5,69796.50,3,971,18,20,1
207,5,246452.49,9,944,13,13,1
208,5,103465.26,4,1194,15,56,0
209,5,277304.95,7,1187,14,54,0
210,5,211559.00,6,965,17,19,0
211,5,175351.55,9,855,2,2,1
212,5,168940.75,6,900,8,8,0
213,5,119397.74,5,1161,16,51,0
214,5,70896.54,7,1103,21,43,0
215,5,92558.80,6,991,20,24,1
216,5,129005.61,5,832,0,0,0
217,5,265761.53,8,1054,24,36,0
218,5,5862.69,2,1150,17,49,0
219,5,76622.47,5,944,13,13,0
220,5,86281.04,4,1159,16,50,0
221,5,123086.37,4,1062,26,39,0
222,5,156483.47,5,950,17,17,0
223,5,193327.01,9,978,18,21,1
224,6,275911.66,9,443,11,11,1
225,6,138681.29,7,750,11,48,1
226,6,240018.42,6,530,18,21,1
227,6,267263.81,9,422,6,6,1
228,6,138265.33,4,444,12,12,0
229,6,238016.50,7,621,16,35,1
230,6,53656.37,3,425,9,9,0
231,6,34338.78,3,659,17,40,0
232,6,343442.87,7,473,16,16,1
233,6,173897.10,8,587,16,31,1
234,6,252826.02,8,742,10,47,1
235,6,255431.75,5,588,17,32,1
236,6,164933.57,7,463,14,14,1
237,6,10090.46,2,385,0,0,0
238,6,83433.76,5,616,15,34,1
239,6,74070.51,6,687,20,44,0
240,6,77610.30,6,412,3,3,1
241,6,186252.85,8,431,10,10,1
242,6,77083.81,6,650,17,38,0
243,6,162727.56,5,677,17,41,0
244,6,192763.14,8,572,12,25,1
245,6,87045.14,4,409,2,2,1
246,6,124110.45,5,537,17,22,1
247,6,40007.42,3,480,17,17,0
248,6,98446.66,6,575,13,26,1
249,6,26549.78,3,583,16,30,0
250,6,194011.62,8,580,15,29,1
251,6,150365.22,8,483,18,18,1
252,6,29107.40,2,422,6,6,0
253,6,128715.85,7,682,18,42,1
254,6,219079.67,8,507,18,19,1
255,6,75062.68,4,554,12,23,0
256,6,154106.79,6,657,17,39,1
257,6,19598.60,2,393,1,1,0
258,6,150350.23,8,568,11,24,1
259,6,353272.18,8,469,15,15,1
260,6,122593.36,6,726,13,46,0
261,6,210625.71,9,686,19,43,1
262,6,63346.40,5,455,13,13,0
263,6,93106.47,4,578,13,27,0
264,6,13603.04,2,693,19,45,1
265,6,47332.76,4,579,14,28,0
